"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Australia","Pakistan","2003","389","","389",""
"Australia","Papua New Guinea","2003","2","","2",""
"Australia","Peru","2003","19","","19",""
"Australia","Philippines","2003","7","","7",""
"Australia","Rep. of Korea","2003","3","","3",""
"Australia","Rep. of Moldova","2003","1","","1",""
"Australia","Romania","2003","7","","7",""
"Australia","Russian Federation","2003","188","","188",""
"Australia","Rwanda","2003","60","","60",""
"Australia","Saudi Arabia","2003","5","","5",""
"Australia","Serbia (and Kosovo: S/RES/1244 (1999))","2003","7250","","7250",""
"Australia","Sierra Leone","2003","777","","777",""
"Australia","Singapore","2003","6","","6",""
"Australia","Slovenia","2003","3","","3",""
"Australia","Solomon Islands","2003","22","","22",""
"Australia","Somalia","2003","1130","","1130",""
"Australia","South Africa","2003","10","","10",""
"Australia","Sri Lanka","2003","935","","935",""
"Australia","State of Palestine","2003","158","","158",""
"Australia","Stateless","2003","139","","139",""
"Australia","Sudan","2003","10037","","10037",""
"Australia","Syrian Arab Rep.","2003","71","","71",""
"Australia","Tajikistan","2003","1","","1",""
"Australia","Thailand","2003","11","","11",""
"Australia","The former Yugoslav Rep. of Macedonia","2003","14","","14",""
"Australia","Timor-Leste","2003","127","","127",""
"Australia","Togo","2003","1","","1",""
"Australia","Tonga","2003","1","","1",""
"Australia","Tunisia","2003","15","","15",""
"Australia","Turkey","2003","585","","585",""
"Australia","Uganda","2003","51","","51",""
"Australia","Ukraine","2003","44","","44",""
"Australia","United Arab Emirates","2003","10","","10",""
"Australia","United Kingdom","2003","4","","4",""
"Australia","United Rep. of Tanzania","2003","6","","6",""
"Australia","United States","2003","2","","2",""
"Australia","Uzbekistan","2003","8","","8",""
"Australia","Various","2003","159","","159",""
"Australia","Viet Nam","2003","255","","255",""
"Australia","Yemen","2003","44","","44",""
"Australia","Zambia","2003","1","","1",""
"Australia","Zimbabwe","2003","43","","43",""
"Austria","Afghanistan","2003","1595","","1595",""
"Austria","Albania","2003","149","","149",""
"Austria","Algeria","2003","7","","7",""
"Austria","Angola","2003","54","","54",""
"Austria","Armenia","2003","64","","64",""
"Austria","Austria","2003","1","","1",""
"Austria","Azerbaijan","2003","42","","42",""
"Austria","Bangladesh","2003","2","","2",""
"Austria","Belarus","2003","3","","3",""
"Austria","Bolivia (Plurinational State of)","2003","6","","6",""
"Austria","Bosnia and Herzegovina","2003","726","","726",""
"Austria","Bulgaria","2003","5","","5",""
"Austria","Burkina Faso","2003","1","","1",""
"Austria","Burundi","2003","8","","8",""
"Austria","Cambodia","2003","23","","23",""
"Austria","Cameroon","2003","51","","51",""
"Austria","Chad","2003","2","","2",""
"Austria","Chile","2003","2","","2",""
"Austria","China","2003","30","","30",""
"Austria","Colombia","2003","24","","24",""
"Austria","Congo","2003","35","","35",""
"Austria","Côte d'Ivoire","2003","4","","4",""
"Austria","Croatia","2003","26","","26",""
"Austria","Cuba","2003","2","","2",""
"Austria","Czech Rep.","2003","5","","5",""
"Austria","Dem. Rep. of the Congo","2003","227","","227",""
"Austria","Egypt","2003","21","","21",""
"Austria","Eritrea","2003","6","","6",""
"Austria","Ethiopia","2003","54","","54",""
"Austria","France","2003","1","","1",""
"Austria","Gambia","2003","6","","6",""
"Austria","Georgia","2003","82","","82",""
"Austria","Ghana","2003","26","","26",""
"Austria","Guinea","2003","12","","12",""
"Austria","Hungary","2003","1","","1",""
"Austria","India","2003","3","","3",""
"Austria","Indonesia","2003","4","","4",""
"Austria","Iraq","2003","1141","","1141",""
"Austria","Islamic Rep. of Iran","2003","1112","","1112",""
"Austria","Jordan","2003","1","","1",""
"Austria","Kazakhstan","2003","9","","9",""
"Austria","Kyrgyzstan","2003","20","","20",""
"Austria","Lao People's Dem. Rep.","2003","21","","21",""
"Austria","Lebanon","2003","21","","21",""
"Austria","Liberia","2003","15","","15",""
"Austria","Libya","2003","1","","1",""
"Austria","Mongolia","2003","4","","4",""
"Austria","Morocco","2003","1","","1",""
"Austria","Nigeria","2003","41","","41",""
"Austria","Pakistan","2003","19","","19",""
"Austria","Peru","2003","1","","1",""
"Austria","Poland","2003","8","","8",""
"Austria","Rep. of Moldova","2003","5","","5",""
"Austria","Romania","2003","208","","208",""
"Austria","Russian Federation","2003","911","","911",""
"Austria","Rwanda","2003","87","","87",""
"Austria","Senegal","2003","1","","1",""
"Austria","Serbia (and Kosovo: S/RES/1244 (1999))","2003","4265","","4265",""
"Austria","Sierra Leone","2003","37","","37",""
"Austria","Slovakia","2003","4","","4",""
"Austria","Slovenia","2003","1","","1",""
"Austria","Somalia","2003","81","","81",""
"Austria","Sri Lanka","2003","5","","5",""
"Austria","Stateless","2003","66","","66",""
"Austria","Sudan","2003","58","","58",""
"Austria","Syrian Arab Rep.","2003","61","","61",""
"Austria","Tajikistan","2003","35","","35",""
"Austria","The former Yugoslav Rep. of Macedonia","2003","17","","17",""
"Austria","Togo","2003","13","","13",""
"Austria","Tunisia","2003","41","","41",""
"Austria","Turkey","2003","401","","401",""
"Austria","Turkmenistan","2003","9","","9",""
"Austria","Uganda","2003","8","","8",""
"Austria","Ukraine","2003","38","","38",""
"Austria","Uzbekistan","2003","6","","6",""
"Austria","Various","2003","3885","","3885",""
"Austria","Viet Nam","2003","139","","139",""
"Austria","Yemen","2003","1","","1",""
"Austria","Zimbabwe","2003","1","","1",""
"Azerbaijan","Afghanistan","2003","171","171","171","171"
"Azerbaijan","China","2003","2","2","2","2"
"Azerbaijan","Iraq","2003","29","29","29","29"
"Azerbaijan","Islamic Rep. of Iran","2003","38","38","38","38"
"Azerbaijan","Jordan","2003","1","1","1","1"
"Azerbaijan","Kuwait","2003","7","7","7","7"
"Azerbaijan","Russian Federation","2003","65","65","65","65"
"Azerbaijan","Somalia","2003","3","3","3","3"
"Azerbaijan","State of Palestine","2003","9","9","9","9"
"Azerbaijan","Syrian Arab Rep.","2003","1","1","1","1"
"Bangladesh","Afghanistan","2003","1","","1",""
"Bangladesh","Islamic Rep. of Iran","2003","27","","27",""
"Bangladesh","Myanmar","2003","19743","19701","19743","19701"
"Bangladesh","Sierra Leone","2003","3","2","3","2"
"Bangladesh","Somalia","2003","16","5","16","5"
"Bangladesh","Sri Lanka","2003","2","","2",""
"Belarus","Afghanistan","2003","459","195","459","195"
"Belarus","Armenia","2003","1","1","1","1"
"Belarus","Azerbaijan","2003","27","1","27","1"
"Belarus","Cameroon","2003","","1","","1"
"Belarus","Ethiopia","2003","20","2","20","2"
"Belarus","Georgia","2003","98","12","98","12"
"Belarus","India","2003","2","1","2","1"
"Belarus","Iraq","2003","1","","1",""
"Belarus","Islamic Rep. of Iran","2003","1","","1",""
"Belarus","Liberia","2003","1","","1",""
"Belarus","Rwanda","2003","1","","1",""
"Belarus","State of Palestine","2003","9","","9",""
"Belarus","Tajikistan","2003","18","","18",""
"Belgium","Afghanistan","2003","541","","541",""
"Belgium","Albania","2003","195","","195",""
"Belgium","Algeria","2003","144","","144",""
"Belgium","Angola","2003","166","","166",""
"Belgium","Armenia","2003","15","","15",""
"Belgium","Azerbaijan","2003","3","","3",""
"Belgium","Belarus","2003","62","","62",""
"Belgium","Benin","2003","1","","1",""
"Belgium","Bhutan","2003","2","","2",""
"Belgium","Bolivia (Plurinational State of)","2003","13","","13",""
"Belgium","Bosnia and Herzegovina","2003","143","","143",""
"Belgium","Brazil","2003","1","","1",""
"Belgium","Bulgaria","2003","19","","19",""
"Belgium","Burkina Faso","2003","4","","4",""
"Belgium","Burundi","2003","344","","344",""
"Belgium","Cambodia","2003","41","","41",""
"Belgium","Cameroon","2003","22","","22",""
"Belgium","Central African Rep.","2003","12","","12",""
"Belgium","Chad","2003","12","","12",""
"Belgium","Chile","2003","124","","124",""
"Belgium","China","2003","10","","10",""
"Belgium","Colombia","2003","19","","19",""
"Belgium","Congo","2003","44","","44",""
"Belgium","Côte d'Ivoire","2003","14","","14",""
"Belgium","Croatia","2003","13","","13",""
"Belgium","Cuba","2003","1","","1",""
"Belgium","Czech Rep.","2003","33","","33",""
"Belgium","Dem. Rep. of the Congo","2003","1000","","1000",""
"Belgium","Djibouti","2003","24","","24",""
"Belgium","Dominican Rep.","2003","1","","1",""
"Belgium","Egypt","2003","3","","3",""
"Belgium","Estonia","2003","4","","4",""
"Belgium","Ethiopia","2003","26","","26",""
"Belgium","Georgia","2003","37","","37",""
"Belgium","Germany","2003","6","","6",""
"Belgium","Ghana","2003","7","","7",""
"Belgium","Greece","2003","1","","1",""
"Belgium","Guatemala","2003","2","","2",""
"Belgium","Guinea","2003","28","","28",""
"Belgium","Haiti","2003","6","","6",""
"Belgium","Hungary","2003","196","","196",""
"Belgium","India","2003","10","","10",""
"Belgium","Iraq","2003","209","","209",""
"Belgium","Islamic Rep. of Iran","2003","171","","171",""
"Belgium","Israel","2003","5","","5",""
"Belgium","Jordan","2003","5","","5",""
"Belgium","Kazakhstan","2003","17","","17",""
"Belgium","Kenya","2003","1","","1",""
"Belgium","Kyrgyzstan","2003","1","","1",""
"Belgium","Lao People's Dem. Rep.","2003","37","","37",""
"Belgium","Latvia","2003","21","","21",""
"Belgium","Lebanon","2003","32","","32",""
"Belgium","Liberia","2003","24","","24",""
"Belgium","Lithuania","2003","28","","28",""
"Belgium","Mauritania","2003","17","","17",""
"Belgium","Morocco","2003","8","","8",""
"Belgium","Myanmar","2003","2","","2",""
"Belgium","Namibia","2003","1","","1",""
"Belgium","Nepal","2003","4","","4",""
"Belgium","Niger","2003","2","","2",""
"Belgium","Nigeria","2003","2","","2",""
"Belgium","Pakistan","2003","26","","26",""
"Belgium","Peru","2003","10","","10",""
"Belgium","Poland","2003","595","","595",""
"Belgium","Portugal","2003","1","","1",""
"Belgium","Rep. of Moldova","2003","3","","3",""
"Belgium","Romania","2003","48","","48",""
"Belgium","Russian Federation","2003","168","","168",""
"Belgium","Rwanda","2003","1591","","1591",""
"Belgium","Senegal","2003","4","","4",""
"Belgium","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1750","","1750",""
"Belgium","Sierra Leone","2003","10","","10",""
"Belgium","Somalia","2003","163","","163",""
"Belgium","South Africa","2003","2","","2",""
"Belgium","Spain","2003","3","","3",""
"Belgium","Sri Lanka","2003","6","","6",""
"Belgium","State of Palestine","2003","25","","25",""
"Belgium","Stateless","2003","309","","309",""
"Belgium","Sudan","2003","11","","11",""
"Belgium","Syrian Arab Rep.","2003","19","","19",""
"Belgium","Thailand","2003","1","","1",""
"Belgium","The former Yugoslav Rep. of Macedonia","2003","20","","20",""
"Belgium","Tibetans","2003","1","","1",""
"Belgium","Togo","2003","20","","20",""
"Belgium","Tunisia","2003","11","","11",""
"Belgium","Turkey","2003","580","","580",""
"Belgium","Uganda","2003","1","","1",""
"Belgium","Ukraine","2003","152","","152",""
"Belgium","Uruguay","2003","5","","5",""
"Belgium","Uzbekistan","2003","21","","21",""
"Belgium","Various","2003","2959","","2959",""
"Belgium","Viet Nam","2003","144","","144",""
"Belize","El Salvador","2003","655","","655",""
"Belize","Guatemala","2003","84","","84",""
"Belize","Honduras","2003","52","","52",""
"Belize","Nicaragua","2003","70","","70",""
"Benin","Algeria","2003","7","","7",""
"Benin","Angola","2003","3","","3",""
"Benin","Bosnia and Herzegovina","2003","3","","3",""
"Benin","Burkina Faso","2003","7","","7",""
"Benin","Burundi","2003","132","","132",""
"Benin","Cameroon","2003","54","","54",""
"Benin","Central African Rep.","2003","48","","48",""
"Benin","Chad","2003","466","","466",""
"Benin","Comoros","2003","3","","3",""
"Benin","Congo","2003","1179","","1179",""
"Benin","Côte d'Ivoire","2003","84","","84",""
"Benin","Cuba","2003","2","","2",""
"Benin","Dem. Rep. of the Congo","2003","852","","852",""
"Benin","Equatorial Guinea","2003","13","","13",""
"Benin","Ethiopia","2003","16","","16",""
"Benin","Ghana","2003","2","","2",""
"Benin","Guinea","2003","8","","8",""
"Benin","Guinea-Bissau","2003","3","","3",""
"Benin","Iraq","2003","7","","7",""
"Benin","Liberia","2003","13","","13",""
"Benin","Niger","2003","2","","2",""
"Benin","Nigeria","2003","242","","242",""
"Benin","Oman","2003","2","","2",""
"Benin","Rwanda","2003","604","","604",""
"Benin","Sierra Leone","2003","5","","5",""
"Benin","Somalia","2003","1","","1",""
"Benin","Sudan","2003","49","","49",""
"Benin","Syrian Arab Rep.","2003","1","","1",""
"Benin","Togo","2003","1221","","1221",""
"Benin","Uganda","2003","5","","5",""
"Bolivia (Plurinational State of)","Argentina","2003","2","1","2","1"
"Bolivia (Plurinational State of)","Colombia","2003","13","13","13","13"
"Bolivia (Plurinational State of)","Cuba","2003","35","9","35","9"
"Bolivia (Plurinational State of)","Ecuador","2003","2","2","2","2"
"Bolivia (Plurinational State of)","Iraq","2003","15","15","15","15"
"Bolivia (Plurinational State of)","Islamic Rep. of Iran","2003","3","1","3","1"
"Bolivia (Plurinational State of)","Peru","2003","444","269","444","269"
"Bolivia (Plurinational State of)","Russian Federation","2003","13","1","13","1"
"Bosnia and Herzegovina","Croatia","2003","19477","","19477",""
"Bosnia and Herzegovina","Islamic Rep. of Iran","2003","3","3","3","3"
"Bosnia and Herzegovina","Serbia (and Kosovo: S/RES/1244 (1999))","2003","3033","670","3033","670"
"Bosnia and Herzegovina","State of Palestine","2003","2","2","2","2"
"Bosnia and Herzegovina","Syrian Arab Rep.","2003","1","1","1","1"
"Bosnia and Herzegovina","Tunisia","2003","1","1","1","1"
"Botswana","Algeria","2003","1","1","1","1"
"Botswana","Angola","2003","784","771","784","771"
"Botswana","Burundi","2003","45","37","45","37"
"Botswana","Comoros","2003","1","1","1","1"
"Botswana","Dem. Rep. of the Congo","2003","47","44","47","44"
"Botswana","Eritrea","2003","2","2","2","2"
"Botswana","Ethiopia","2003","15","15","15","15"
"Botswana","Kenya","2003","11","11","11","11"
"Botswana","Namibia","2003","1236","1225","1236","1225"
"Botswana","Rwanda","2003","31","29","31","29"
"Botswana","Sierra Leone","2003","2","2","2","2"
"Botswana","Somalia","2003","583","583","583","583"
"Botswana","Sudan","2003","12","12","12","12"
"Botswana","Uganda","2003","44","35","44","35"
"Botswana","Zambia","2003","1","1","1","1"
"Botswana","Zimbabwe","2003","23","23","23","23"
"Brazil","Afghanistan","2003","11","11","11","11"
"Brazil","Algeria","2003","6","2","6","2"
"Brazil","Angola","2003","1952","1373","1952","1373"
"Brazil","Argentina","2003","11","11","11","11"
"Brazil","Armenia","2003","3","3","3","3"
"Brazil","Bosnia and Herzegovina","2003","13","4","13","4"
"Brazil","Burkina Faso","2003","2","","2",""
"Brazil","Burundi","2003","15","11","15","11"
"Brazil","Cameroon","2003","5","5","5","5"
"Brazil","Colombia","2003","88","84","88","84"
"Brazil","Congo","2003","2","","2",""
"Brazil","Croatia","2003","18","2","18","2"
"Brazil","Cuba","2003","92","34","92","34"
"Brazil","Dem. Rep. of the Congo","2003","174","136","174","136"
"Brazil","Egypt","2003","4","1","4","1"
"Brazil","El Salvador","2003","3","3","3","3"
"Brazil","Ethiopia","2003","5","2","5","2"
"Brazil","Georgia","2003","9","7","9","7"
"Brazil","Ghana","2003","4","4","4","4"
"Brazil","Guinea-Bissau","2003","9","6","9","6"
"Brazil","Haiti","2003","1","1","1","1"
"Brazil","Iraq","2003","65","41","65","41"
"Brazil","Islamic Rep. of Iran","2003","22","6","22","6"
"Brazil","Lebanon","2003","14","","14",""
"Brazil","Liberia","2003","267","151","267","151"
"Brazil","Libya","2003","2","2","2","2"
"Brazil","Macao SAR, China","2003","5","3","5","3"
"Brazil","Mali","2003","1","1","1","1"
"Brazil","Mauritania","2003","2","2","2","2"
"Brazil","Morocco","2003","5","3","5","3"
"Brazil","Mozambique","2003","1","","1",""
"Brazil","Nigeria","2003","27","11","27","11"
"Brazil","Pakistan","2003","9","9","9","9"
"Brazil","Paraguay","2003","3","3","3","3"
"Brazil","Peru","2003","39","12","39","12"
"Brazil","Romania","2003","1","","1",""
"Brazil","Russian Federation","2003","3","","3",""
"Brazil","Rwanda","2003","16","6","16","6"
"Brazil","Serbia (and Kosovo: S/RES/1244 (1999))","2003","66","28","66","28"
"Brazil","Sierra Leone","2003","150","96","150","96"
"Brazil","Somalia","2003","15","8","15","8"
"Brazil","South Africa","2003","1","","1",""
"Brazil","Sri Lanka","2003","3","1","3","1"
"Brazil","State of Palestine","2003","13","13","13","13"
"Brazil","Sudan","2003","24","17","24","17"
"Brazil","Syrian Arab Rep.","2003","5","1","5","1"
"Brazil","United Rep. of Tanzania","2003","5","4","5","4"
"Brazil","Viet Nam","2003","2","","2",""
"Bulgaria","Afghanistan","2003","1829","","1829",""
"Bulgaria","Albania","2003","5","","5",""
"Bulgaria","Algeria","2003","21","","21",""
"Bulgaria","Angola","2003","5","","5",""
"Bulgaria","Azerbaijan","2003","2","","2",""
"Bulgaria","Bangladesh","2003","10","","10",""
"Bulgaria","Benin","2003","2","","2",""
"Bulgaria","Bosnia and Herzegovina","2003","35","","35",""
"Bulgaria","Burundi","2003","2","","2",""
"Bulgaria","Cameroon","2003","5","","5",""
"Bulgaria","Congo","2003","21","","21",""
"Bulgaria","Cuba","2003","1","","1",""
"Bulgaria","Dem. Rep. of the Congo","2003","31","","31",""
"Bulgaria","Egypt","2003","1","","1",""
"Bulgaria","Eritrea","2003","7","","7",""
"Bulgaria","Ethiopia","2003","58","","58",""
"Bulgaria","Georgia","2003","1","","1",""
"Bulgaria","Ghana","2003","1","","1",""
"Bulgaria","Guinea","2003","1","","1",""
"Bulgaria","India","2003","2","","2",""
"Bulgaria","Iraq","2003","1066","","1066",""
"Bulgaria","Islamic Rep. of Iran","2003","192","","192",""
"Bulgaria","Jordan","2003","2","","2",""
"Bulgaria","Lebanon","2003","22","","22",""
"Bulgaria","Liberia","2003","11","","11",""
"Bulgaria","Mali","2003","1","","1",""
"Bulgaria","Nigeria","2003","2","","2",""
"Bulgaria","Russian Federation","2003","8","","8",""
"Bulgaria","Rwanda","2003","2","","2",""
"Bulgaria","Senegal","2003","1","","1",""
"Bulgaria","Serbia (and Kosovo: S/RES/1244 (1999))","2003","118","","118",""
"Bulgaria","Sierra Leone","2003","12","","12",""
"Bulgaria","Somalia","2003","68","","68",""
"Bulgaria","Sri Lanka","2003","2","","2",""
"Bulgaria","Stateless","2003","189","","189",""
"Bulgaria","Sudan","2003","168","","168",""
"Bulgaria","Syrian Arab Rep.","2003","65","","65",""
"Bulgaria","Tunisia","2003","9","","9",""
"Bulgaria","Turkey","2003","82","","82",""
"Bulgaria","Turkmenistan","2003","1","","1",""
"Bulgaria","United Rep. of Tanzania","2003","3","","3",""
"Bulgaria","Yemen","2003","3","","3",""
"Bulgaria","Zambia","2003","1","","1",""
"Burkina Faso","Burundi","2003","64","","64",""
"Burkina Faso","Cameroon","2003","6","","6",""
"Burkina Faso","Central African Rep.","2003","1","","1",""
"Burkina Faso","Chad","2003","146","","146",""
"Burkina Faso","Congo","2003","76","","76",""
"Burkina Faso","Côte d'Ivoire","2003","1","","1",""
"Burkina Faso","Dem. Rep. of the Congo","2003","30","","30",""
"Burkina Faso","Eritrea","2003","5","","5",""
"Burkina Faso","Ghana","2003","1","","1",""
"Burkina Faso","Guinea","2003","1","","1",""
"Burkina Faso","Mali","2003","3","","3",""
"Burkina Faso","Rwanda","2003","94","","94",""
"Burkina Faso","Sudan","2003","6","","6",""
"Burkina Faso","Togo","2003","29","","29",""
"Burkina Faso","Viet Nam","2003","3","","3",""
"Burundi","Dem. Rep. of the Congo","2003","40568","13231","40568","13231"
"Burundi","Rwanda","2003","397","","397",""
"Burundi","Somalia","2003","4","","4",""
"Burundi","United Rep. of Tanzania","2003","2","","2",""
"Cambodia","Afghanistan","2003","13","13","13","13"
"Cambodia","Algeria","2003","2","2","2","2"
"Cambodia","China","2003","9","9","9","9"
"Cambodia","Iraq","2003","5","5","5","5"
